ID,Title,Owner,StartPI,EndPI,ParentId,Status
goal-1,Backend Modernization Initiative,,,,,
goal-1-scope-1,Cloud Migration Phase 1,Datadogs,25.1,25.3,goal-1,in-progress
08dbc772-5557-47f1-b51d-902a87488db3,New Item 123,Rubber Duckies,25.1,25.2,goal-1-scope-1,completed
goal-1-scope-1-feature-1,Database migration to DynamoDB,Rubber Duckies,25.1,25.2,goal-1-scope-1,completed
goal-1-scope-1-feature-2,API gateway setup,Rubber Duckies,25.2,25.3,goal-1-scope-1,in-progress
goal-1-scope-1-feature-3,Load balancer configuration,Promise Keepers,25.1,25.2,goal-1-scope-1,completed
goal-1-scope-1-feature-5,Monitoring and alerting setup,Null Terminators,25.2,25.4,goal-1-scope-1,in-progress
goal-1-scope-2,Microservices Architecture,Infinite Loopers,25.2,25.3,goal-1,in-progress
9f83095a-511d-4912-9351-11c88bd5ac9a,Test item 1,Hot Module Reloaders,25.2,25.3,goal-1-scope-2,planned
goal-1-scope-2-feature-1,User service extraction,Hot Module Reloaders,25.2,25.2,goal-1-scope-2,completed
goal-1-scope-2-feature-2,Payment service extraction,Datadogs,25.2,25.3,goal-1-scope-2,in-progress
goal-1-scope-2-feature-3,Notification service extraction,Rubber Duckies,25.3,25.3,goal-1-scope-2,planned
goal-1-scope-2-feature-4,Service mesh implementation,Promise Keepers,25.3,25.3,goal-1-scope-2,planned
goal-1-scope-2-feature-5,API versioning strategy,Console Loggers,25.2,25.3,goal-1-scope-2,in-progress
goal-1-scope-3,Security Hardening,Null Terminators,25.2,25.4,goal-1,in-progress
goal-1-scope-3-feature-1,OAuth 2.0 implementation,Infinite Loopers,25.2,25.2,goal-1-scope-3,completed
goal-1-scope-3-feature-2,Encryption at rest,Hot Module Reloaders,25.2,25.3,goal-1-scope-3,in-progress
goal-1-scope-3-feature-3,Penetration testing,Datadogs,25.3,25.3,goal-1-scope-3,planned
goal-1-scope-3-feature-4,WAF configuration,Rubber Duckies,25.3,25.4,goal-1-scope-3,planned
goal-1-scope-3-feature-5,Security audit compliance,Promise Keepers,25.4,25.4,goal-1-scope-3,planned
goal-1-scope-4,Performance Optimization,Console Loggers,25.3,25.4,goal-1,planned
goal-1-scope-4-feature-1,Database query optimization,Null Terminators,25.3,25.3,goal-1-scope-4,planned
goal-1-scope-4-feature-2,Caching layer implementation,Infinite Loopers,25.3,25.3,goal-1-scope-4,planned
goal-1-scope-4-feature-3,Frontend bundle optimization,Hot Module Reloaders,25.3,25.4,goal-1-scope-4,planned
goal-1-scope-4-feature-4,Lazy loading implementation,Datadogs,25.4,25.5,goal-1-scope-4,planned
goal-1-scope-4-feature-5,Image optimization pipeline,Rubber Duckies,25.4,25.4,goal-1-scope-4,planned
goal-1-scope-5,DevOps Automation,Promise Keepers,25.1,25.3,goal-1,in-progress
goal-1-scope-5-feature-1,CI/CD pipeline setup,Console Loggers,25.1,25.1,goal-1-scope-5,completed
goal-1-scope-5-feature-2,Infrastructure as Code,Null Terminators,25.1,25.2,goal-1-scope-5,completed
goal-1-scope-5-feature-3,Automated testing framework,Infinite Loopers,25.2,25.2,goal-1-scope-5,completed
goal-1-scope-5-feature-4,Container orchestration,Hot Module Reloaders,25.2,25.3,goal-1-scope-5,in-progress
goal-1-scope-5-feature-5,Deployment rollback automation,Datadogs,25.3,25.4,goal-1-scope-5,planned
goal-2,Customer Experience Enhancement,,,,,
goal-2-scope-1,Mobile App Redesign,Rubber Duckies,25.1,25.2,goal-2,completed
goal-2-scope-1-feature-1,User research and personas,Promise Keepers,25.1,25.1,goal-2-scope-1,completed
goal-2-scope-1-feature-2,UI/UX wireframes,Console Loggers,25.1,25.1,goal-2-scope-1,completed
goal-2-scope-1-feature-3,Design system update,Null Terminators,25.1,25.2,goal-2-scope-1,completed
goal-2-scope-1-feature-4,React Native implementation,Infinite Loopers,25.2,25.2,goal-2-scope-1,completed
goal-2-scope-1-feature-5,A/B testing and launch,Hot Module Reloaders,25.2,25.2,goal-2-scope-1,completed
goal-2-scope-2,Personalization Engine,Datadogs,25.1,25.3,goal-2,in-progress
goal-2-scope-2-feature-1,User behavior tracking,Rubber Duckies,25.1,25.1,goal-2-scope-2,completed
goal-2-scope-2-feature-3,Recommendation algorithm,Console Loggers,25.2,25.2,goal-2-scope-2,completed
goal-2-scope-2-feature-4,Dynamic content delivery,Null Terminators,25.2,25.3,goal-2-scope-2,completed
goal-2-scope-2-feature-5,Performance metrics dashboard,Infinite Loopers,25.3,25.3,goal-2-scope-2,completed
goal-2-scope-3,Omnichannel Support,Hot Module Reloaders,25.2,25.3,goal-2,in-progress
goal-2-scope-3-feature-1,Live chat integration,Datadogs,25.2,25.2,goal-2-scope-3,completed
goal-2-scope-3-feature-2,Social media integration,Rubber Duckies,25.2,25.2,goal-2-scope-3,completed
goal-2-scope-3-feature-3,Email support automation,Promise Keepers,25.2,25.3,goal-2-scope-3,in-progress
goal-2-scope-3-feature-4,Voice support system,Console Loggers,25.3,25.3,goal-2-scope-3,planned
goal-2-scope-3-feature-5,Unified ticket management,Null Terminators,25.2,25.3,goal-2-scope-3,in-progress
goal-2-scope-4,Self-Service Portal,Infinite Loopers,25.1,25.2,goal-2,completed
goal-2-scope-4-feature-1,Knowledge base creation,Hot Module Reloaders,25.1,25.1,goal-2-scope-4,completed
goal-2-scope-4-feature-2,FAQ chatbot,Datadogs,25.1,25.2,goal-2-scope-4,completed
goal-2-scope-4-feature-3,Video tutorials,Rubber Duckies,25.1,25.2,goal-2-scope-4,completed
